incident_id,external_case_id,year,month,country,site,location,activity,hazard_category,cause_category,severity_level,recurrence_frequency,risk_score,risk_level_label,recommendation_summary,needs_human_review
b6f48926-5a3d-495e-8fe3-9d2dfd94cba0,144627,2025,4,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Walking / working surfaces,Ergonomic Hazards,Workplace Design,Very low,14 days - 6 months,4,Low,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 90 days.",False
7e714b2b-ff42-4578-8aa7-5c8f65c03cee,154531,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Ergonomic,Mechanical / Equipment Hazards,Maintenance Management,Unknown,Unknown,,Unknown,"Inspect guarding, isolate unsafe equipment, and confirm lockout controls. Owner: Maintenance. Timeframe: 90 days.",True
9dfdf176-9200-42e6-b004-d7d8f3547f16,154545,2025,1,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Physical Hazards,Facilities and equipment,Unknown,Unknown,,Unknown,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 90 days.",True
5b7c300e-4a68-4714-9056-7cfad4dbe036,154546,2025,1,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Physical Hazards,Facilities and equipment,Unknown,Unknown,,Unknown,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 90 days.",True
81f0db58-c167-4fac-9937-18528c1b2721,154627,2025,1,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Walking / working surfaces,Ergonomic Hazards,Facilities and equipment,Unknown,Unknown,,Unknown,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 90 days.",True
feff61b2-4b92-41b5-913c-d3780bb57db0,154668,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Environmental Hazards,Facilities and equipment,Unknown,Unknown,,Unknown,Contain environmental exposure and verify waste/emission controls. Owner: EHS. Timeframe: 90 days.,True
ae0d4d4c-e8a0-4112-a9a0-9490754f6549,154669,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Electrical Hazards,Housekeeping,High,Unknown,,Unknown,Add housekeeping checks and clear the affected area. Owner: Maintenance. Timeframe: 90 days.,True
f3203139-a6bf-44a8-932d-ada77d2c2f1d,154670,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Chemical Hazards,Housekeeping,Unknown,Unknown,,Unknown,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,True
850d63fa-d7cc-41ea-adf8-df75489ff9d9,154671,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Mechanical / Equipment Hazards,Workplace Design,Unknown,Unknown,,Unknown,"Inspect guarding, isolate unsafe equipment, and confirm lockout controls. Owner: Maintenance. Timeframe: 90 days.",True
9d3006bf-30e3-480e-862a-f4460e9143df,154672,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Electrical Hazards,Maintenance Management,High,Unknown,,Unknown,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 90 days.,True
6482d1b5-7047-4d44-92ce-3516d55cadf5,154673,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Electrical Hazards,Workplace Design,High,Unknown,,Unknown,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 90 days.,True
26733fae-8ead-4cdd-aaa6-cb92a8c30a47,154674,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Electrical Hazards,Workplace Design,High,Unknown,,Unknown,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 90 days.,True
e1b9cde1-b1fe-4edd-b90a-c043c439c312,154675,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Other,Chemical Hazards,Housekeeping,Unknown,Unknown,,Unknown,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,True
