Responsible entity,Responsible entity.1,Responsible entity.2,Case type,Location,Date and time,Status,Case no.,Case title,Case description,Activity,Severity level,Most probable recurrence frequency,Classification,Cause category,Cause,Immediate actions,Action description,Validation description(Actions),"Cases, Count",Hazard clasiffication
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,India - Chennai - Oragadam A19/2 SIPCOT,2025-01-04,Closed,300001,Wet floor near side entrance,Operator almost slipped on wet floor near the production side entrance. No wet floor sign was visible.,Walking / working surfaces,Low,14 days - 6 months,PH,Facilities and equipment,Defect equipment,Area dried and temporary warning sign placed.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Denmark - Nordborg - Nordborgvej 81,2025-02-07,Closed,300002,Exposed wiring in electrical cabinet,Maintenance noticed exposed wiring and loose cable inside an electrical cabinet during inspection.,Repair & Maintenance,-- Not selected --,-- Not selected --,PH,Workplace Design,Lay-out inadequate/inappropriate,Cabinet isolated and maintenance ticket created.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,2025-03-10,Closed,300003,Forklift crossing pedestrian lane,Forklift reversed across the pedestrian walkway without clear visual contact with the operator nearby.,Traffic,Medium,6 months - 1 year,PH,Human Factors,Risk perception,Supervisor informed drivers during shift meeting.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Mexico - Monterrey - Carretera Miguel Aleman no. 162,2025-04-13,Closed,300004,Chemical spill at storage area,Small oil and solvent spill observed near chemical storage. Container label was damaged.,Manual material handling,-- Not selected --,-- Not selected --,PH,Procedures,Procedure not followed,Spill kit used and container moved to containment tray.,Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,United States - Tallahassee - 1769 East Paul Dirac Drive,2025-05-16,Registered,300005,Machine guard missing,Machine guard was removed from rotating part during adjustment. Finger pinch point exposed.,Machining & Assembly,High,0 - 14 days,PH,Housekeeping,Housekeeping routines not followed,Machine stopped until guard was reinstalled.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Slovenia - Ljubljana - Jozeta Jame 16,2025-06-19,Closed,300006,Operatør snubler over afmærkning,Operatør snubler over afmærkning der delvis står på gågang.,Walking / working surfaces,-- Not selected --,Less often,PH,-- Not selected --,-- Not selected --,Afmærkning flyttet væk fra gågang.,-No value-,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",2025-07-22,Closed,300007,Uszkodzony przewód przy maszynie,Pracownik zauważył uszkodzony przewód i ryzyko porażenia prądem przy panelu sterowania.,Repair & Maintenance,Very low,-- Not selected --,NMI,Facilities and equipment,Defect equipment,Obszar zabezpieczono i zgłoszono do utrzymania ruchu.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,China - Wuqing - Quanhui Road No.9,2025-08-25,Closed,300008,Paletni viličar preblizu pešcem,Viličar je vozil preblizu območja za pešce pri vhodu v skladišče.,Traffic,-- Not selected --,14 days - 6 months,PH,Workplace Design,Lay-out inadequate/inappropriate,"Voznik opozorjen, pot za pešce ponovno označena.",Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,India - Chennai - Oragadam A19/2 SIPCOT,2025-09-28,Closed,300009,Manual lifting of heavy box,Employee lifted heavy box from low position repeatedly. Back pain risk reported.,Ergonomic,Low,-- Not selected --,PH,Human Factors,Risk perception,-- Not selected --,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Denmark - Nordborg - Nordborgvej 81,2025-10-03,Registered,300010,Flammable material close to hot work,   Flammable packaging material was stored close to active hot work area with sparks observed.   ,Repair & Maintenance,-- Not selected --,6 months - 1 year,PH,Procedures,Procedure not followed,Material removed from hot work area.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,2025-11-06,Closed,300011,Steam pressure valve leaking,Pressurized steam valve showed signs of leak during production startup.,Repair & Maintenance,Medium,-- Not selected --,PH,Housekeeping,Housekeeping routines not followed,Valve area isolated and maintenance called.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Mexico - Monterrey - Carretera Miguel Aleman no. 162,2025-12-09,Closed,300012,Waste container overflow,Waste container overflow near outdoor area. Risk of pollution during rain.,Building & Property conditions,-- Not selected --,0 - 14 days,PH,-- Not selected --,-- Not selected --,-No value-,Permanent corrective action to be defined by local EHS and area owner.,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,United States - Tallahassee - 1769 East Paul Dirac Drive,2025-01-12,Closed,300013,Wet floor near side entrance,Operator almost slipped on wet floor near the production side entrance. No wet floor sign was visible.,-- Not selected --,High,Less often,PH,Facilities and equipment,Defect equipment,Area dried and temporary warning sign placed.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,Slovenia - Ljubljana - Jozeta Jame 16,2025-02-15,Closed,300014,Exposed wiring in electrical cabinet,Maintenance noticed exposed wiring and loose cable inside an electrical cabinet during inspection.,Repair & Maintenance,-- Not selected --,-- Not selected --,NMI,Workplace Design,Lay-out inadequate/inappropriate,Cabinet isolated and maintenance ticket created.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",2025-03-18,Registered,300015,Forklift crossing pedestrian lane,Forklift reversed across the pedestrian walkway without clear visual contact with the operator nearby.,Traffic,Very low,14 days - 6 months,PH,Human Factors,Risk perception,Supervisor informed drivers during shift meeting.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,China - Wuqing - Quanhui Road No.9,2025-04-21,Closed,300016,Chemical spill at storage area,Small oil and solvent spill observed near chemical storage. Container label was damaged.,Manual material handling,-- Not selected --,-- Not selected --,PH,Procedures,Procedure not followed,Spill kit used and container moved to containment tray.,Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,India - Chennai - Oragadam A19/2 SIPCOT,2025-05-24,Closed,300017,Machine guard missing,Machine guard was removed from rotating part during adjustment. Finger pinch point exposed.,Machining & Assembly,Low,6 months - 1 year,PH,-- Not selected --,-- Not selected --,Machine stopped until guard was reinstalled.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Denmark - Nordborg - Nordborgvej 81,2025-06-27,Closed,300018,Operatør snubler over afmærkning,Operatør snubler over afmærkning der delvis står på gågang.,Walking / working surfaces,-- Not selected --,-- Not selected --,PH,-- Not selected --,-- Not selected --,Afmærkning flyttet væk fra gågang.,-No value-,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,2025-07-02,Closed,300018,Uszkodzony przewód przy maszynie,Pracownik zauważył uszkodzony przewód i ryzyko porażenia prądem przy panelu sterowania.,Repair & Maintenance,Medium,0 - 14 days,PH,Facilities and equipment,Defect equipment,Obszar zabezpieczono i zgłoszono do utrzymania ruchu.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Mexico - Monterrey - Carretera Miguel Aleman no. 162,2025-08-05,Registered,300020,Paletni viličar preblizu pešcem,   Viličar je vozil preblizu območja za pešce pri vhodu v skladišče.   ,Traffic,-- Not selected --,Less often,PH,Workplace Design,Lay-out inadequate/inappropriate,"Voznik opozorjen, pot za pešce ponovno označena.",Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,United States - Tallahassee - 1769 East Paul Dirac Drive,2025-09-08,Closed,300021,Manual lifting of heavy box,Employee lifted heavy box from low position repeatedly. Back pain risk reported.,Ergonomic,High,-- Not selected --,NMI,Human Factors,Risk perception,-- Not selected --,-No value-,-No value-,1,
